processo;embarque;supplier;modal;data_etd;data_entrega;quantidade;valor_produto;frete;impostos;custo_total_real;custo_unitario;variacao_cambial;lead_time_total;dias_desembaraco;pallets;custo_por_pallet;percentual_frete;percentual_impostos
BBI25016;5;Lanrun;Fcl;19/06/2025;13/08/2025;38800;79540,0;3149,38;174862,82;257552,2;6,64;0,15;55,0;21,0;41,0;6281,76;0,0122;0,6789
BBI25016;6;Lanrun;Fcl;19/06/2025;13/08/2025;38800;79540,0;3149,38;174862,82;257552,2;6,64;0,15;55,0;21,0;42,0;6132,2;0,0122;0,6789
GOC24132;6;Everich;Fcl;17/06/2025;21/08/2025;11228;37847,0;1806,97;76685,1;116339,07;10,36;0,17;65,0;15,0;23,0;5058,22;0,0155;0,6592
BBI25024;1;Ismile;Aéreo;08/06/2025;01/07/2025;6000;12000,0;2178,5;47547,83;61726,33;10,29;-0,0;23,0;21,0;21,0;2939,35;0,0353;0,7703
GOC25035;1;Dacen;Aéreo;02/07/2025;11/07/2025;1680;89040,0;20540,59;225953,49;335534,08;199,72;0,01;9,0;7,0;0,0;;0,0612;0,6734
GOC24128;11;Yns;Fcl;13/07/2025;26/08/2025;20520;82080,0;6450,0;298598,65;387128,65;18,87;0,15;44,0;19,0;37,0;10462,94;0,0167;0,7713
GOC25033;1;Dongguan Alljoyful;Fcl;22/06/2025;10/09/2025;118000;59000,0;5550,0;114417,41;178967,41;1,52;-0,08;80,0;13,0;17,0;10527,49;0,031;0,6393
GOC24128;10;Yns;Fcl;21/06/2025;05/08/2025;2000;9120,0;446,32;39714,2;49280,52;24,64;0,17;45,0;16,0;4,0;12320,13;0,0091;0,8059
GOC24129;4;Yns;Fcl;21/06/2025;05/08/2025;14600;72128,0;3529,87;218911,25;294569,12;20,18;0,17;45,0;16,0;51,0;5775,87;0,012;0,7432
GOC24129;5;Yns;Fcl;21/06/2025;05/08/2025;19800;86310,0;4223,92;306475,75;397009,67;20,05;0,17;45,0;16,0;52,0;7634,8;0,0106;0,772
GOC24129;6;Yns;Fcl;21/06/2025;05/08/2025;21175;99100,75;4849,89;306475,75;410426,39;19,38;0,17;45,0;16,0;53,0;7743,89;0,0118;0,7467
BBI25015;1;Everich;Fcl;17/06/2025;21/08/2025;15504;52740,0;2518,03;122047,58;177305,61;11,44;0,17;65,0;15,0;29,0;6113,99;0,0142;0,6883
BBI25009;1;Arun;Fcl;30/06/2025;11/08/2025;17000;80150,0;6100,0;166908,36;253158,36;14,89;0,06;42,0;16,0;4,0;63289,59;0,0241;0,6593
BBI25016;7;Lanrun;Fcl;20/06/2025;14/08/2025;38800;79540,0;4175,0;188380,19;272095,19;7,01;0,19;55,0;20,0;42,0;6478,46;0,0153;0,6923
BBI25015;2;Everich;Fcl;17/06/2025;10/09/2025;30900;97290,0;4600,0;221201,41;323091,41;10,46;0,12;85,0;14,0;48,0;6731,07;0,0142;0,6846
BBI25016;8;Lanrun;Fcl;20/06/2025;12/08/2025;32000;99840,0;4934,21;198903,6;303677,81;9,49;0,19;53,0;18,0;49,0;6197,51;0,0162;0,655
BBI25016;9;Lanrun;Fcl;20/06/2025;12/08/2025;36240;83280,0;4115,79;198903,6;286299,39;7,9;0,19;53,0;18,0;42,0;6816,65;0,0144;0,6947
GOC24018;14;Everich;Fcl;27/06/2025;25/08/2025;840;4306,8;251,87;9565,34;14124,01;16,81;-0,09;59,0;21,0;7,0;2017,72;0,0178;0,6772
GOC24132;7;Everich;Fcl;27/06/2025;25/08/2025;763;2411,95;141,05;5356,91;7909,91;10,37;0,16;59,0;21,0;14,0;564,99;0,0178;0,6772
BBI25011;1;Everich;Fcl;27/06/2025;25/08/2025;1920;11026,8;644,86;24490,35;36162,01;18,83;0,16;59,0;21,0;5,0;7232,4;0,0178;0,6772
BBI25015;3;Everich;Fcl;27/06/2025;25/08/2025;16878;73014,3;4269,95;189753,87;267038,12;15,82;0,16;59,0;21,0;51,0;5236,04;0,016;0,7106
GOC24114;3;Everich;Fcl;27/06/2025;25/08/2025;2444;11072,2;647,51;24591,19;36310,9;14,86;0,16;59,0;21,0;5,0;7262,18;0,0178;0,6772
BBI25015;4;Everich;Fcl;27/06/2025;25/08/2025;23040;99072,0;5793,83;189753,87;294619,7;12,79;0,16;59,0;21,0;40,0;7365,49;0,0197;0,6441
GOC24129;7;Yns;Fcl;24/06/2025;11/08/2025;19150;91968,5;5722,0;316461,81;414152,31;21,63;0,14;48,0;19,0;55,0;7530,04;0,0138;0,7641
BBI25025;1;At Express;Fcl;23/06/2025;21/08/2025;2794;17461,82;5415,0;41201,52;64078,34;22,93;0,13;59,0;20,0;42,0;1525,67;0,0845;0,643
BBI25025;2;At Express;Fcl;23/06/2025;21/08/2025;2794;17461,82;5415,0;41201,52;64078,34;22,93;0,13;59,0;20,0;44,0;1456,33;0,0845;0,643
BBI25025;3;At Express;Fcl;23/06/2025;22/08/2025;2794;17461,82;5415,0;41201,52;64078,34;22,93;0,13;60,0;21,0;44,0;1456,33;0,0845;0,643
BBI25025;4;At Express;Fcl;23/06/2025;22/08/2025;2794;17461,82;5415,0;41201,52;64078,34;22,93;0,13;60,0;21,0;42,0;1525,67;0,0845;0,643
BBI25015;5;Everich;Fcl;05/07/2025;26/08/2025;18789;79522,5;6628,28;226457,59;312608,37;16,64;0,19;52,0;21,0;56,0;5582,29;0,0212;0,7244
BBI25015;6;Everich;Fcl;05/07/2025;26/08/2025;13200;64680,0;5391,14;115487,76;185558,9;14,06;0,19;52,0;21,0;45,0;4123,53;0,0291;0,6224
GOC25030;1;Newcom;Lcl;08/07/2025;08/09/2025;293000;2637,0;81,24;10144,08;12862,32;0,04;-0,11;62,0;18,0;0,0;;0,0063;0,7887
BBI25016;10;Lanrun;Fcl;25/06/2025;12/08/2025;32520;101462,4;5660,44;229023,29;336146,13;10,34;0,13;48,0;19,0;50,0;6722,92;0,0168;0,6813
BBI25016;11;Lanrun;Fcl;25/06/2025;13/08/2025;32600;101712,0;5660,81;228333,13;335705,94;10,3;0,13;49,0;20,0;49,0;6851,14;0,0169;0,6802
GOC24128;12;Yns;Fcl;13/07/2025;25/08/2025;3615;15857,25;1025,0;52797,73;69679,98;19,28;0,15;43,0;18,0;9,0;7742,22;0,0147;0,7577
GOC24129;8;Yns;Fcl;13/07/2025;25/08/2025;19325;84545,75;5465,0;297113,71;387124,46;20,03;0,15;43,0;18,0;43,0;9002,89;0,0141;0,7675
GOC25038;1;Itink Co;Aéreo;03/07/2025;14/07/2025;35;1225,0;826,25;10038,43;12089,68;345,42;-0,01;11,0;9,0;0,0;;0,0683;0,8303
BBI25016;12;Lanrun;Fcl;05/07/2025;21/08/2025;33720;100119,6;6033,99;216063,51;322217,1;9,56;0,15;47,0;16,0;50,0;6444,34;0,0187;0,6706
BBI25015;7;Everich;Fcl;17/07/2025;05/09/2025;14565;69045,0;6700,0;176655,04;252400,04;17,33;0,06;50,0;17,0;52,0;4853,85;0,0265;0,6999
BBI25015;8;Everich;Lcl;17/07/2025;01/10/2025;18726;75067,2;4893,08;161038,71;240998,99;12,87;0,06;76,0;43,0;41,0;5878,02;0,0203;0,6682
GOC24132;8;Everich;Fcl;05/07/2025;26/08/2025;47;178,15;14,85;1568,8;1761,8;37,49;0,19;52,0;21,0;2,0;880,9;0,0084;0,8905
GOC24129;9;Yns;Fcl;10/07/2025;02/09/2025;2600;5360,0;551,81;20234,43;26146,24;10,06;0,12;54,0;19,0;0,0;;0,0211;0,7739
BBI25028;1;Yns;Fcl;10/07/2025;02/09/2025;19200;38400,0;3953,28;144963,1;187316,38;9,76;0,12;54,0;19,0;44,0;4257,19;0,0211;0,7739
GOC24129;10;Yns;Fcl;10/07/2025;02/09/2025;13550;51069,5;5257,61;192791,49;249118,6;18,39;0,12;54,0;19,0;29,0;8590,3;0,0211;0,7739
BBI25028;2;Yns;Fcl;10/07/2025;02/09/2025;4800;9600,0;988,32;35365,13;45953,45;9,57;0,12;54,0;19,0;11,0;4177,59;0,0215;0,7696
BBI25018;1;Yns;Fcl;10/07/2025;02/09/2025;5500;25245,0;2598,97;89776,67;117620,64;21,39;0,12;54,0;19,0;13,0;9047,74;0,0221;0,7633
GOC25049;1;Shenzhen Ilinois;Aéreo;17/07/2025;24/07/2025;6;7740,0;446,63;16351,66;24538,29;4089,71;-0,03;7,0;5,0;0,0;;0,0182;0,6664
BBI25016;13;Lanrun;Fcl;17/07/2025;01/09/2025;32400;101088,0;6711,45;226914,45;334713,9;10,33;0,17;46,0;13,0;50,0;6694,28;0,0201;0,6779
BBI25025;5;At Express;Fcl;17/07/2025;04/09/2025;2794;17461,82;6075,0;42562,68;66099,5;23,66;0,21;49,0;16,0;42,0;1573,8;0,0919;0,6439
BBI25025;6;At Express;Fcl;17/07/2025;04/09/2025;2794;17461,82;6075,0;42562,68;66099,5;23,66;0,21;49,0;16,0;42,0;1573,8;0,0919;0,6439
BBI25025;7;At Express;Fcl;17/07/2025;03/09/2025;2794;17461,82;6075,0;42562,68;66099,5;23,66;0,21;48,0;15,0;42,0;1573,8;0,0919;0,6439
BBI25025;8;At Express;Fcl;17/07/2025;03/09/2025;2794;17461,82;6075,0;42562,68;66099,5;23,66;0,21;48,0;15,0;46,0;1436,95;0,0919;0,6439
GOC24129;11;Yns;Fcl;16/07/2025;05/09/2025;6000;16680,0;1351,95;62172,89;80204,84;13,37;0,14;51,0;18,0;12,0;6683,74;0,0169;0,7752
BBI25018;2;Yns;Fcl;16/07/2025;05/09/2025;18200;83538,0;6869,78;315924,48;406332,26;22,33;0,14;51,0;18,0;41,0;9910,54;0,0169;0,7775
BBI25018;3;Yns;Fcl;16/07/2025;05/09/2025;11320;57253,6;4708,27;162879,81;224841,68;19,86;0,14;51,0;18,0;56,0;4015,03;0,0209;0,7244
BBI25014;1;Parisun;Fcl;31/07/2025;26/09/2025;34420;179524,0;16380,0;535521,92;731425,92;21,25;0,03;57,0;16,0;144,0;5079,35;0,0224;0,7322
GOC24129;12;Yns;Fcl;27/07/2025;15/09/2025;18600;74400,0;4568,94;244995,92;323964,86;17,42;0,03;50,0;15,0;31,0;10450,48;0,0141;0,7562
BBI25018;5;Yns;Fcl;27/07/2025;15/09/2025;3072;7833,6;481,07;25795,7;34110,37;11,1;0,03;50,0;15,0;6,0;5685,06;0,0141;0,7562
BBI25018;4;Yns;Fcl;27/07/2025;15/09/2025;26814;103402,5;6350,0;340499,86;450252,36;16,79;0,03;50,0;15,0;54,0;8338,01;0,0141;0,7562
BBI25015;9;Everich;Fcl;24/07/2025;09/09/2025;23655;90333,0;6450,0;213187,82;309970,82;13,1;0,09;47,0;16,0;55,0;5635,83;0,0208;0,6878
GOC25020;1;Everich;Lcl;17/07/2025;29/09/2025;2450;1327,0;126,4;7725,68;9179,08;3,75;0,06;74,0;41,0;0,0;;0,0138;0,8417
GOC25045;1;Everich;Lcl;17/07/2025;29/09/2025;3000;750,0;71,44;7725,68;8547,12;2,85;0,06;74,0;41,0;0,0;;0,0084;0,9039
BBI25011;2;Everich;Lcl;17/07/2025;01/10/2025;5736;27245,2;1775,92;58580,37;87601,49;15,27;0,06;76,0;43,0;0,0;;0,0203;0,6687
GOC24018;15;Everich;Lcl;17/07/2025;01/10/2025;45;239,4;15,6;3838,85;4093,85;90,97;0,07;76,0;43,0;1,0;4093,85;0,0038;0,9377
GOC24132;9;Everich;Lcl;17/07/2025;01/10/2025;45;236,25;15,4;3838,85;4090,5;90,9;0,06;76,0;43,0;1,0;4090,5;0,0038;0,9385
BBI25018;6;Yns;Fcl;31/07/2025;19/09/2025;9680;43125,6;2709,33;145467,14;191302,07;19,76;0,06;50,0;11,0;18,0;10627,89;0,0142;0,7604
BBI25018;7;Yns;Fcl;31/07/2025;19/09/2025;17650;83509,5;5246,41;281686,24;370442,15;20,99;0,06;50,0;11,0;54,0;6860,04;0,0142;0,7604
GOC24129;13;Yns;Fcl;31/07/2025;19/09/2025;12500;54824,0;3444,27;184927,06;243195,33;19,46;0,06;50,0;11,0;28,0;8685,55;0,0142;0,7604
BBI25016;14;Lanrun;Fcl;06/08/2025;17/09/2025;23480;79832,0;4637,59;170502,26;254971,85;10,86;0,03;42,0;15,0;53,0;4810,79;0,0182;0,6687
BBI25026;1;Newcom;Aéreo;28/07/2025;26/08/2025;4;19600,0;971,2;25056,27;45627,47;11406,87;-0,11;29,0;20,0;0,0;;0,0213;0,5491
BBI25026;2;Newcom;Lcl;13/08/2025;25/09/2025;2;5400,0;16,0;12963,03;18379,03;9189,51;0,0;43,0;17,0;0,0;;0,0009;0,7053
GOC24132;10;Everich;Fcl;06/08/2025;16/09/2025;3888;11664,0;428,52;24203,07;36295,59;9,34;0,11;41,0;14,0;6,0;6049,26;0,0118;0,6668
BBI25015;10;Everich;Fcl;06/08/2025;16/09/2025;30552;105378,0;3871,48;218661,89;327911,37;10,73;0,11;41,0;14,0;49,0;6692,07;0,0118;0,6668
GOC24053;4;Parisun;Fcl;12/08/2025;02/10/2025;8038;42943,5;3489,87;134990,27;181423,64;22,57;0,12;51,0;19,0;27,0;6719,39;0,0192;0,7441
BBI25014;2;Parisun;Fcl;12/08/2025;02/10/2025;5180;26418,0;1810,13;70150,78;98378,91;18,99;0,12;51,0;19,0;18,0;5465,5;0,0184;0,7131
BBI25018;8;Yns;Fcl;07/08/2025;26/09/2025;12800;63640,0;3890,16;212038,51;279568,67;21,84;-0,02;50,0;16,0;55,0;5083,07;0,0139;0,7584
BBI25018;9;Yns;Fcl;07/08/2025;26/09/2025;22540;103224,0;6309,84;343824,64;453358,48;20,11;-0,02;50,0;16,0;52,0;8718,43;0,0139;0,7584
